English,Överge,Syriac,Arabic
Exertion,,"ܚܘ݂ܦܵܛܵܐ   ,   ܬܲܟ݂ܬܘ݂ܫܵܐ   ,   ܡܚܲܦܛܵܢܘ݂ܬ݂ܵܐ","إجتهاد , مثابرة , سَعي "
Exhale,,ܢܵܗܹܡ ، ܢܗܵܡܵܐ ، ܙܵܦܹܪ ، ܙܦܵܪܵܐ  ،  ܢܵܗܹܓ ،  ܢܗܵܓܵܐ ,يَزفر
Exhibit ,,ܡܚܵܵܘܹܐ  ، ܡܲܚܘܸܐ ، ܓܵܠܹܐ ، ܓܠܵܝܵܐ ، ܕܵܢܹܚ ،  ܕܢܵܚܵܐ ,"يبدي  ,  يظهر  ,   يجلي "
Exhort ,,ܡܵܠܹܟ ، ܣܵܩܹܡ ، ܪܵܬܹܐ ، ܪܬܵܝܵܐ ، ܡܲܪܬܹܐ    -    ܙܵܗܹܪ ، ܙܗܵܪܵܐ ,ينصح    -    يُحذّر
Exist ,,ܐܝ݂ܬ݂ ، ܗܵܘܹܐ ، ܝܵܬܹܬ݂  ، ܟܵܝܹܢ ، ܡܲܫܟܸܢ ، ܬܵܩܹܢ ، ܗܘܵܝܵܐ ,"يوجد  ,  يكون  "
Existence,,ܐܝ݂ܬ݂ܘ݂ܬ݂ܵܐ,"وجود  ,   كينونة "
Existent ,,ܐܝ݂ܬ݂ܝܵܵܐ ، ܫܟ݂ܝ݂ܚܵܐ ، ܩܲܝܵܡܵܐ ، ܣܝ݂ܡ ، ܩܵܝܡܵܐ ,"موجود   ,   كائن "
Exonerate ,,ܚܵܪܹܪ ، ܥܵܬܹܩ ، ܒܵܠܹܐ ، ܥܲܬܩܸܢ ، ܡܚܵܪܹܪ ، ܒܠܵܝܵܐ ، ܥܬܵܩܵܐ ، ܥܲܬܩܘܿܢܹܐ ,"يُعتق  ,  يبرئ  ,  يحل "
Exorbitant,,"ܛܝ݂ܡܵܢܵܐ   ,   ܐܲܓ݂ܪܵܢܵܐ","باهظ , غالي "
Exotic ,,ܢܘ݂ܟ݂ܪܵܝܵܐ ، ܥܵܠܘܿܠܵܐ ، ܥܲܠܝ݂ܠܵܐ ، ܐܲܟ݂ܣܵܢܵܐ ، ܓܝ݂ܘܿܪܵܐ ، ܥܵܪܘܿܒ݂ܵܐ ,"غريب  ,  دخيل  ,  أجنبي "
Expand ,,ܡܵܝܹܕ ، ܡܝܵܕ݂ܵܐ ، ܦܵܫܹܩ ، ܦܫܵܩܐ ، ܦܵܪܹܓ ، ܦܪܵܓܵܐ ، ܪܵܓܹܒܿ ، ܡܲܫܛܸܚ ، ܡܲܫܛܘܿܚܹܐ ,"يمدّد  ,  يوسّع "
Expanse,,"ܦܫܝ݂ܩܘ݂ܬ݂ܵܐ   ,   ܫܛܝ݂ܚܘ݂ܬ݂ܵܐ   ,   ܪܝ݂ܚܘ݂ܬ݂ܵܐ","إنبساط , إنبطاح  ,  امتداد"
Expect,,ܣܵܒܹܪ  ،  ܣܒܵܪܵܐ  ،  ܚܵܫܹܒ݂  ،  ܚܫܵܒ݂ܵܐ ،  ܡܲܚܫܸܒ݂ ,"يتوقع  ,  يضن  ,  يعتقد "
Expectancy  or  Expectance,,"ܣܒܸܪܠܹܗ  ,  ܐܲܣܒܲܪ  ,  ܐ݀ܣܬܲܟܿܝ݂","تَوَقّعَ   ,  ترقّب  , اعتقد "
Expedient,,"ܡܸܨܥܵܝܘ݂ܬ݂ܵܐ   ,   ܡܸܨܥܵܐ   ,   ܐܘ݂ܪܚܵܐ   ,   ܫܒ݂ܝ݂ܠܵܐ","واسطة , وسيلة   ,  ذريعة "
Expedient,,ܚܵܫܚܵܐ ، ܚܫܝ݂ܚܵܐ ، ܠܵܚܡܵܐ ، ܡܠܲܚܡܵܐ ، ܡܚܲܝܢܵܐ ، ܥܵܗܢܵܝܵܐ ، ܝܵܐܝܵܐ ,"مناسب  ,  ملائم "
Expedition ,,ܫܸܕܪܵܐ  ،  ܡܫܲܕܪܘ݂ܬ݂ܵܐ  ،  ܬܲܫܕܲܪܬܵܐ  ،  ܫܲܓܵܪܘ݂ܬ݂ܵܐ ,"بعثة  ,  البعثة (هيئة مُرسَلَة) "
Expel,,ܪܵܕܹܦ ، ܪܕܵܦܵܐ ، ܫܵܕ݂ܐ ، ܡܲܫܕܸܐ  ،  ܛܵܪܹܕ݂  ،  ܛܪܵܕ݂ܵܐ,"يطرد  ,  يلفظ"
Expend ,,ܢܵܦܹܹܩ  ،  ܢܦܵܩܵܐ  ,ينفق  
Expenditure ,,ܡܲܦܩܵܢܘ݂ܬ݂ܵܐ ,"إنفاق  ,  الإنفاق "
Expense ,,ܕܲܦܵܢܵܐ   ،   ܢܸܦܩܵܐ   ،   ܢܸܦܩܬ݂ܵܐ ,"نفقة   ,   النفقة "
Expensive,,"ܛܝ݂ܡܵܢܵܐ   ,   ܐܲܓܪܲܢ","ثمين  , غالي  ,  مُكْلِفْ"
Experience,,"ܡܗܝ݂ܪܘ݂ܬ݂ܵܐ ، ܪܲܕ݂ܝܘ݂ܬ݂ܵܐ ,  ܢܸܣܝܵܢܵܐ  ،  ܢܸܣܝܘܿܢܵܐ ، ܒܘ݂ܚܪܵܢܵܐ ، ܢܘ݂ܣܵܝܵܐ   ","خبرة  ,  حُنكة  ,  تجربة "
Experienced,,"ܒܚܝ݂ܪܵܐ   ,   ܝܵܕܘܿܥܵܐ","خبير  ,  بارع  ,  مُتمرّس , ذو تجربة"
Experiment,,"ܒܘ݂ܚܪܵܢܵܐ   ,   ܨܵܚܨܵܝܬܵܐ   ,   ܢܸܣܝܘܿܢܵܐ","أمتحان  ,  تجربة  ,  فَحْص"
Expert,,"ܛܵܪܩܵܐ   ,   ܡܗܝ݂ܪܵܐ   ,   ܒܚܝ݂ܪܵܐ","ماهر  ,  بارع  ,  خبير"
Explain,,ܡܦܵܫܹܩ ، ܫܵܪܹܐ ، ܫܪܵܝܵܐ ، ܦܵܨܹܠ ، ܦܨܵܠܵܐ   ܡܲܝܕܸܥ ، ܡܲܢܗܸܪ,"يشرح  ,  يفسّر   ,  يوضّح"
Explanation,,"ܦܘ݂ܫܵܩܵܐ   ,   ܫܪܵܝܬܵܐ","تفسير  ,   إيضاح"
Explanatory,,"ܡܦܲܫܩܵܢܵܐ   ,   ܦܵܫܘܿܪܵܐ","مُفَسّر  ,  شارِحْ  ,  مُبَينْ"
Explicit,,"ܓܸܠܝܵܐ   ,   ܩܪܝ݂ܚܵܐ  ،  ܓܠܝ݂ܓ݂ܵܐ  ،  ܕܢܝ݂ܚܵܐ ","صريح  ,  واضح  ,  جليّ  ,  بَيّن "
Explode,,ܦܵܩܹܹܥ ، ܦܩܵܥܵܐ ، ܦܲܪܩܸܥ ، ܦܲܪܩܘܿܥܹܐ ، ܦܵܬܹܩ ، ܦܬ݂ܵܩܵܐ,ينفجر
Exploit ,,ܢܸܨܚܵܢܵܐ ,"مأثُرة  ,  المأثُرة "
Explosion ,,ܦܘ݂ܩܵܥܵܐ   ،   ܦܘ݂ܪܩܵܥܵܐ   ،  ܫܘܿܪܩܵܥܵܐ  ،  ,"إنفجار  ,  الانفجار "
Exportation ,,ܡܲܦܩܵܢܘ݂ܬ݂ܵܐ   ،   ܦܘ݂ܪܦܵܩܵܐ  ,"تصدير  ,  التصدير  (سلعة مصدّرة)"
Expound,,"ܦܵܫܹܩ  ،  ܫܪܵܐ ، ܦܨܲܠ ، ܢܲܗܲܪ ، ܦܘ݂ܫܸܩܠܹܗ  ,  ܫܪܹܐܠܹܗ  ","فَسَّرَ  ,  شَرَحَ  "
Expressly ,,ܫܲܦܝ݂ܵܐܝ݂ܬ݂ ، ܦܫܝ݂ܩܵܐܝ݂ܬ݂ ، ܓܲܠܝܵܐܝ݂ܬ݂ ، ܚܲܪܝ݂ܦܵܐܝ݂ܬ݂ ، ܩܪܝ݂ܚܵܐܝ݂ܬ݂ ,"بوضوج  ,  بجلاء "
Expunge ,,ܫܵܝܹܹܦ ، ܫܝܵܦܵܐ ، ܡܵܚܹܐ ، ܡܲܡܚܸܐ ، ܡܵܫܹܐ ، ܡܫܵܝܵܐ ,"يشطب  ,  يحذف  ,  يمحو "
Expulsion ,,ܡܲܦܲܩܬܵܐ ،  ܐܸܟܿܣܘܿܪܝ݂ܵܐ ، ܬܵܘܓܵܐ ، ܛܪܝ݂ܕܘ݂ܬ݂ܸܐ ، ܛܪܘܿܕ݂ܝܵܐ ، ܕܚܘ݂ܩܝܵܐ ,"طَرْد ,  إخراج  ,  ترحيل  ,  نفي "
Exquisite,,"ܛܝ݂ܡܵܢܵܐ   ,   ܝܲܩܝ݂ܪܵܐ","ثمين , فاخر , رائع "
Exserted ,,ܢܵܬ݂ܝܵܐ   ،   ܢܵܕ݂ܝܵܐ ,"ناتئ   ,   بارز "
Exsiccate ,,ܡܵܒܹܫ ، ܡܲܒܘܿܫܹܐ ، ܡܲܢܫܸܦ ، ܡܲܢܫܘܿܦܹܐ ، ܓܵܝܹܙ ، ܓܝܵܙܵܐ ,"يجفّف   ,   ينشّف "
Extend,,ܡܵܬܹܚ  ،  ܡܬ݂ܵܚܵܐ  ، ܝܵܪܹܟ݂  ،  ܝ݂ܪܵܟ݂ܵܐ ،  ܡܦܵܫܹܩ  ,"يُمدّد  ,  يُطوّل  ,  يمد  , يَبسط  ,  يطيل"
Extended ,,ܐܲܪܝ݂ܟ݂ܵܐ  ,طويل    
Exterminate,,"ܥܵܩܹܪ ، ܥܩܵܪܵܐ ، ܫܵܠܹܓ ، ܫܵܠܹܥ ,  ܢܵܬܹܫ  ,  ܩܵܠܹܥ ،  ܢܵܓܹܠ ","يفني  ,  يزيل  ,  يستأصل  "
External ,,ܒܲܪܵܢܵܝܵܐ  ،  ܒܲܪܵܢܵܐ  ،  ܛܵܝܘܿܦܵܐ   ،  ܛܲܝܵܦܵܐ ,"خارجي  ,  ظاهري  ,  سطحي "
Extinguish,,ܕܵܥܹܟ݂  ،  ܕܥܵܟ݂ܵܐ  ،  ܛܵܝܹܚ ، ܛܝܵܚܵܐ ،  ܒܵܗܹܠ ، ܒܗܵܠܵܐ ,"يطفئ ,  يُخمد "
Extol,,ܗܵܕܹܪ ، ܗܕ݂ܵܪܵܐ ،  ܝܵܒܹܒ݂ ، ܝܘ݂ܒܵܒ݂ܵܐ ، ܩܵܠܹܣ ، ܡܩܵܠܹܣ ، ܫܵܒܹܚ ، ܡܫܵܒܹܚ ,"يمجّد  ,  يُعظّم  ,  يُبجّل  ,  يسبّح "
Extra,,ܠܘܵܬ݂ ܡ݂ܕ݂ܡܵܝܵܐ  ،  ܐ݉ܚܝܵܢܵܝܵܐ ,"إضافي  ,  الاضافي "
Extraneous ,,ܢܘ݂ܟ݂ܪܵܝܵܐ ، ܥܵܠܘܿܠܵܐ ، ܥܲܠܝ݂ܠܵܐ ، ܐܲܟ݂ܣܵܢܵܐ ، ܓܝ݂ܘܿܪܵܐ ، ܥܵܪܘܿܒ݂ܵܐ ، ܐܲܪܚܵܐ,"دخيل  ,  غريب  ,  أجنبي "
Extraordinary ,,ܥܘ݂݂ܕ݂ܝܵܝܵܐ  ،  ܫܢܝ݂ܙܵܐ  ،  ܕܡܝ݂ܪܵܐ  ،  ܩܹܫܵܝܵܐ  ،  ܕܲܠܝ݂ܠܵܐ ,"نادر   ,   رائع  "
Extravagance,,"ܒܘ݂ܕܵܪܵܐ   ,   ܦܲܕܝ݂ܕܘ݂ܬ݂ܵܐ   ,   ܦܵܪܘܿܚܘ݂ܬ݂ܵܐ","إفراط  ,  إسراف"
Extreme ,,"ܨܵܪܘܿܡܵܐ   ،   ܙܥܝ݂ܦܵܐ   ,  ܣܲܘܦܵܝܵܐ   ","صارم   ,  متطرف  "
Exuberance,,"ܝܲܬܝ݂ܪܘ݂ܬ݂ܵܐ   ,   ܦܸܪܝܘ݂ܬ݂ܵܐ","وِفرة  ,  خِصْب  ,  تكاثر  ,  غزارة"
Exude,,"ܢܵܛܹܠ ، ܢܛܵܠܵܐ  , ܢܵܨܹܠ ، ܢܨܵܠܵܐ  ، ܪܵܙܹܦ ، ܪܙܵܦܵܐ ","ينضح  ,  يرشح  "
Exult,,ܪܵܘܹܙ ، ܪܘܵܙܵܐ  ، ܦܵܨܹܚ ، ܦܨܵܚܵܐ  ، ܚܵܕܹܐ ، ܚܕ݂ܵܝܵܐ  ، ܟܲܠܟܹܠ ، ܟܲܠܟܘܿܠܹܐ  ,"يبتهج  ,  يتهلهل "
Eye,,ܥܲܝܢܵܐ,عَيْن
Eye-brow,,ܓܒ݂ܝ݂ܢܵܐ,حاجب العين
Eyedropper ,,ܡܢܲܲܛܦܵܢܝ݂ܬ݂ܵܐ   ،   ܡܲܛܦܵܢܝ݂ܬ݂ܵܐ ,قطّارة (للعين) 
Eye-lashes,,"ܬ݀ܠܦܵܐ   ,   ܫܦܘܿܠܵܐ","هَدب  ,   أهداب"
Eyelid,,"ܬܸܡܪܵܐ   ,   ܬܸܠܦܵܐ","جفن العين  ,   أجفان"
Fable,,"ܒܕܘܿܠܬܵܐ   ,   ܒܵܕ̈ܝܵܬ݂ܵܐ  ","خرافة  ,  خزعبلة"
Fabricate,,ܬܵܪܹܨ، ܚܵܫܹܠ ، ܚܫܵܠܵܐ ، ܐܲܡܸܢ ، ܐܲܡܘܿܢܹܐ ، ܥܵܒܹܕ݂ ، ܡܲܥܒܹܕ݂ ،  ܒܵܪܹܐ ,"يصنع  ,  ينشئ  ,  يخلق "
Face,,"ܦܵܬ݂ܵܐ  ,  ܦܲܐܬ݂ܵܐ  ,  ܐܲܦܹ̈ܐ   -   ܫܸܛܚܵܐ   ","وَجَه  ,  فاه     -    سَطَحْ"
Facility,,"ܦܫܝ݂ܩܘ݂ܬ݂ܵܐ   ,   ܦܫܝ݂ܛܘ݂ܬ݂ܵܐ","سهولة  ,   يَسِر "
Fact,,"ܫܪܵܪܵܐ   ,   ܩܘ݂ܫܬܵܐ   ,   ܩܵܐܸܡ","حقيقة   ,   واقع"
Faction,,"ܣܝ݂ܣܲܪܬܵܐ   ,   ܡܵܘܬܒ݂ܵܐ   ,   ܟܢܘ݂ܫܝܵܐ   ,   ܓܲܒܵܐ","عصْبة  ,   حزب  ,   زمرة  ,  جماعة "
Factory,,ܡܲܨܢܵܥܵܐ,"مصنع  ,  معمل "
Faculty,,"ܬܘ݂ܩܦܵܐ   ,   ܚܲܝܠܵܐ","طاقة  ,  قدرة  ,   قوة (في الفيزياء)"
Fagot    or    Fagoot ,,ܟܲܪܬܵܐ  ،  ܩܲܦܠܵܐ  ،  ܡܟ݂ܵܪܬܵܐ  ،  ܡܹܐܣܲܪܬܵܐ  ،  ܟܲܦܵܐ ,حُزمة  
Fail ,,ܒܵܪܹܟ ؛ ܡܵܚܹܠ ، ܫܵܦܹܠ   -   ܚܵܒ݂ ، ܢܦܵܠ ، ܢܦܸܠܠܹܗ ,"يفشل   -    رَسَبَ ,  سَقَطَ  (في الإمتحان)"
Fain,,"ܚܵܕܝܵܐ   ,   ܦܨܝ݂ܚܵܐ   ,   ܪܘܝ݂ܙܵܐ","مسرور  ,  سعيد ,  فَرِحْ"
Faint ,,ܫܢܵܝܵܐ  ،  ܫܸܢܝܵܐ  ،  ܩܛܵܦܵܐ  ،  ܨܘܵܪܵܐ  ,"إغماء   ,  مصاب بدوار"
Faintness,,"ܫܸܗܘܵܐ   ,   ܫܢܵܐܝܵܐ","إعياء  ,  إغماء"
Fair,,"ܟܸܐܢܵܐ  ,  ܙܲܕܝ݂ܩܵܐ    -  ܫܲܦܝ݂ܪܵܐ ، ܦܲܐܝܵܐ ، ܙܲܗܝܵܐ ، ܝܵܐܝܵܐ","عادل , مُنْصِف     -   جميل , وسيم "
Fairness,,"ܟܹܐܢܘ݂ܬ݂ܵܐ   ,   ܙܲܕܝ݂ܩܘ݂ܬ݂ܵܐ","عدالة  ,  إنصاف"
Fairy ,,ܓܸܢܝܵܐ، ܕܲܝܘܵܐ، ܫܹܐܕ݂ܵܐ     -  ܓܸܢܝ݂ܬ݂ܵܐ ، ܠܹܠܝ݂ܬ݂ܵܐ ، ܕܲܝܘܘ݂ܬ݂ܵܐ ,"جِنّي , الجنّي     -   جنّية , الجنّية "
Faith,,"ܗܲܝܡܵܢܘ݂ܬ݂ܵܐ    -   ܕܘܓܿܡܵܐ   ,   ܬܲܘܕܝ݂ܬ݂ܵܐ","أيمان    -    مُعتقد  ,  دين "
Faithful,,"ܡܗܲܝܡܢܵܐ  ,  ܫܲܪܝ݂ܪܵܐ  ,  ܟܸܐܢܵܐ  ,  ܬܟ݂ܝ݂ܠܵܐ   ،  ܕܲܟ݂ܝܵܐ ","أمين  ,  صادق   ,  مخلص "
Faithfulness,,"ܓܘ݂ܥܠܵܢܵܐ   ,   ܬܲܣܦܝ݂ܬ݂ܵܐ   ,   ܗܘ݂ܝܡܵܢܵܐ","أمانة  ,  وديعة"
Faithless,,"ܟܵܦܿܘܿܪܵܐ   ,   ܚܲܢܦܵܐ   -   ܢܵܟ݂ܘܿܠܵܐ  ,  ܢܟ݂ܝ݂ܠܵܐ  ,  ܡܣܲܦܝܵܢܵܐ","كافر , غير مؤمن  -    خائن  ,  غادر"
Falcon,,"ܒܵܙܵܐ   ,   ܛܲܨܥܵܪܵܐ","باز  ,  صقر "
Fall,,ܢܵܦܹܠ ܢܦܵܠܵܐ ، ܛܵܪܹܚ ، ܛܪܵܚܵܐ ، ܫܲܢܕܹܟ݂ ، ܫܲܢܕܘܿܟܹܐ,"يقع  ,  يسقط "
Fallen ,,ܢܵܚܬܵܐ  ،  ܢܵܚܘܿܬ݂ܵܐ  ،  ܢܲܚܝ݂ܬ݂ܵܐ  ،  ܪܟ݂ܝ݂ܢܵܐ ,"هابط   ,   ساقط  "
False ,,"ܙܸܐܦܵܢܵܐ   ,   ܚܒ݂ܝ݂ܠܵܐ   ,   ܙܲܪܩܵܩܬܵܐ","زائف  ,  مغشوش  ,  مُزَيّف   ,  مزوَّر"
Falsehood,,ܕܘ݂ܓܠܵܐ   ،  ܫܘ݂ܩܪܵܐ  ،   ܙܹܐܦܵܢܘ݂ܬ݂ܵܐ,"كذب  ,  بهتان "
Falsify,,ܙܵܝܹܦ ، ܙܝܵܦܵܐ ، ܚܵܪܹܦ ، ܚܪܵܦܵܐ,"يزيّف , يزوّر , يغش "
Falsity ,,ܙܲܪܩܵܩܬܵܐ ، ܙܹܐܦܵܢܘ݂ܬ݂ܵܐ ، ܫܘ݂ܩܪܵܐ ، ܕܘ݂ܓܠܵܐ ، ܕܲܓܵܠܘ݂ܬ݂ܵܐ ، ܟܲܕܵܒ݂ܘ݂ܬ݂ܵܐ ,"زَيفْ  ,  الزَيفْ  ,  كّذبْ  ,  الكَذبْ "
Fame,,"ܡܫܲܡܗܘ݂ܬ݂ܵܐ   ,   ܝ݂ܕܝ݂ܥܘ݂ܬ݂ܵܐ","شِهرة  ,  ذائع الصيت   ,  سمعة "
Famed,,"ܡܫܲܡܗܵܐ   ,   ܝ݂ܕܝ݂ܥܵܐ   ,   ܛܒ݂ܝ݂ܒ݂ܵܐ"," مشهور  ,  معروف  ,  مرموق"
Familiar,,"ܥܝܵܕ݂ܵܝܵܐ   ,   ܝ݂ܕܝ݂ܥܵܐ","مألوف  ,   معروف "
Family,,"ܒܲܝܬܘ݂ܬ݂ܵܐ   ,   ܐܝ݂ܩܵܪܬܵܐ","عائلة  ,   أسْرة"
Famine,,"ܟܲܦܢܵܐ  ,  ܬܘ݂ܢܒܵܝܵܐ  ،  ܟܲܦܡܘ݂ܬ݂ܵܐ  ،  ܓܘ݂ܪܣܵܡܵܐ ","مجاعة  ,  قَحَط "
Famous,,"ܡܫܲܡܗܵܐ   ,   ܝ݂ܕܝ݂ܥܵܐ","مشهور ,  شهير  ,  معروف"
Fan,,"ܡܦܝ݂ܚܵܢܝ݂ܬ݂ܵܐ   ,   ܡܲܪܘܲܚܬܵܐ",مَروَحة
Fanatic ,,ܛܘ݂ܗܡܵܝܵܐ ، ܣܵܘܦܵܝܵܐ ، ܩܲܫܝܵܐ ،  ܦܵܢܵܛܝ݂ܩܵܩܵܐ ,"متعصّب  ,  شخص متعصب "
Fancied ,,ܗܵܓܵܓ݂ܵܝܵܐ ، ܕܘ݂ܡܝܵܢܵܝܵܐ ، ܣܸܒ݂ܪܵܢܵܝܵܐ ، ܣܝܵܡܵܝܵܐ ، ܗܲܓܵܓ݂ܵܐ ,"خيالي  ,  وَهمي "
Fancy ,,ܝܲܨܪܵܐ ، ܚܘ݂ܬ݂ܚܵܬ݂ܵܐ ، ܚܘ݂ܒܵܐ ، ܢܦܝ݂ܫܘ݂ܬ݂ܵܐ ، ܫܢܝ݂ܓ݂ܘ݂ܬ݂ܵܐ ,"وَلَعْ  ,  هوى  ,  حُب  ,  رغبة  , مَيْل"
Fanfaron ,,ܡܫܲܩܠܵܐ ، ܫܲܒ݂ܗܪܵܢܵܐ ، ܚܬ݂ܝ݂ܪܵܐ ، ܙܘܝ݂ܙܵܐ ، ܡܫܲܒ݂ܗܪܵܐ ، ܢܦܝ݂ܚܵܐ ، ܡܥܲܪܡܵܐ ,"مُتبجّح  ,  متفاخر ,  منكبّر "
Fang ,,ܢܝ݂ܒ݂ܵܐ  ،  ܨܡܘ݂ܪܬܵܐ     -   ܥܸܩܪܵܐ ܕܢܝ݂ܒ݂ܵܐ ,"نابْ  ,  الناب    -   جذر السن "
Far,,"ܪܲܚܘ݂ܩܵܐ   ,   ܪܲܚܝ݂ܩܵܐ   ,   ܪܲܚܩܘ݂ܬ݂ܵܐ","بعيد  ,   بعيدا "
Fare ,,ܡܫܵܢܹܐ ،  ܡܫܲܢܘܿܝܹܐ ، ܫܵܩܹܠ ، ܥܵܒܹܪ ، ܚܵܙܹܩ ، ܦܵܫܹܛ ، ܚܙܵܩܵܐ  ,"يرتحل   ,   يسافر "
Farer ,,ܚܲܙܵܩܵܐ ، ܐܲܪܲܚ ، ܥܵܒ݂ܪܵܐ ، ܥܵܒ݂ܘܿܪܵܐ ، ܚܵܙܘܿܩܵܐ ، ܪܲܕ݂ܵܝܵܐ ، ܪܵܕ݂ܘܿܝܵܐ,"مُسافر   ,   المسافر "
Farewell,,"ܦܘ݂ܫܵܛܵܐ   ,   ܦܪܵܫܬܵܐ   ,   ܫܒ݂ܵܩܬܵܐ ܒܫܵܝܢܵܐ","وداعاً  ,  الوداع"
Farina ,,ܢܸܫܵܐ ,نشاْ   ( دقيق الذرة)
Farm,,"ܚܲܩܠܵܐ   ,   ܡܲܙܪܲܥܬܵܐ","مزرعة  ,  حَقل"
Farmer,,"ܐܲܟܵܪܵܐ   ,   ܙܵܪܘܿܥܵܐ   ,   ܦܲܠܵܚܵܐ","فلاح  ,  مُزارِع"
Farming,,"ܐܲܟܵܪܘ݂ܬ݂ܵܐ   ,   ܦܵܠܚܘ݂ܬ݂ܵܐ   ,   ܙܵܪܘܿܥܘ݂ܬ݂ܵܐ","فِلاحة ,  زراعة  , العمل بالزراعة"
Farrago ,,ܥܘ݂ܪܵܒ݂ܵܐ ، ܥܪܘ݂ܒ݂ܝܵܐ ، ܚܠܵܛܵܐ ، ܚܲܠܘܿܟܵܐ ,"مزيح  ,  المزيج  ,  خليط  ,  الخليط "
Farther ,,ܬܪܲܦ  ،  ܙܢܲܓ݂  ،  ܬܟܲܣ  ،  ܙܢܲܩ  ،  ܪܕܲܦ  ،  ܫܕ݂ܵܐ  ،  ܦܫܲܚ ,أبعدْ
"Farthermost  ,  Frathest ",,ܪܲܚܝ݂ܩܵܐ ,"الأبعد  ,  الأقصى "
Fast,,"ܩܲܠܘ݂ܠܵܐ , ܡܣܲܪܗܒ݂ܵܐ , ܪܗܝ݂ܒ݂ܵܐ   -   ܨܵܘܡܵܐ    -   ܨܵܝܹܡ ، ܨܝܵܡܵܐ","سريع ,عجول   -  صوم , صيام   -  يصوم"
Fat,,"ܡܸܫܚܵܐ , ܫܘ݂ܡܢܵܐ , ܬܲܪܒܵܐ    -    ܫܲܡܝ݂ܢܵܐ , ܬܲܪܒܵܢܵܐ , ܥܲܒܿܝ݂ܛܵܐ","دِهن  ,  سَمْن      -    سَمينْ"
Fatal,,"ܡܵܘܒܕܵܢܵܐ   ,   ܩܵܛܘܿܠܵܐ","مُهلك  ,  مُميت "
Fated ,,ܦܣܝ݂ܩܵܐ  ،  ܓܪܝ݂ܡܵܐ  ،  ܚܠܝ݂ܩܵܐ ،  ܚܪܝ݂ܩܵܐ ، ܡܬܲܚܡܵܐ ,"محتوم  ,   مُقَدّر  ,  مصيري  "
Father,,"ܒܵܒܵܐ   ,   ܐܵܒ݂ܵܐ","أب  ,  والد"
Fatherhood ,,ܐܲܒ݂ܿܵܗܘ݂ܬ݂ܵܐ  ،  ܐܲܒ݂ܵܗܵܝܘ݂ܬ݂ܵܐ  ،  ܝܵܠܘܿܕ݂ܘ݂ܬ݂ܵܐ ,"أبوّة  ,  الأبوّة "
Father - in - low ,,ܚܡܵܐ  ،  ܚܡܵܗܵܐ  ،  ܚܸܡܝܵܢܵܐ ,"حمو , الحمو (والد أحد الزوجين)"
Fatherless,,"ܝܲܬ݂ܘ݂ܡܵܐ  ,  ܝܲܬ݂ܡܵܐ  ( ܕܟ݂ܪ )  ,  ܝܲܬ݂ܡܬ݂ܵܐ  ( ܢܩܒ )","يتيم   ,  بلا أب "
Fatherly,,ܐܵܒ݂ܵܗܵܝܵܐ,أبوي 
Fatuous ,,ܣܲܦܝ݂ܦܵܐ ، ܦܲܛܥܵܐ ، ܡܠܝ݂ܣܵܐ ، ܒܲܗܠܵܐ ، ܣܲܟ݂ܠܵܐ ، ܒܘ݂ܪܵܐ ، ܒܠܝ݂ܗܵܐ ، ܐܲܠܝ݂ܠܵܐ ,"سخيف  ,  أحمق  ,   أبلة "
Faucet,,ܦܸܬ݂ܝܘܿܢܵܐ,"حنفية  ,  صَنبور "
Fault,,"ܚܛܝ݂ܬ݂ܵܐ   ,   ܚܵܘܒܵܐ   ,   ܡܘ݂ܡܵܐ   ,   ܛܵܥܝܘ݂ܬ݂ܵܐ","عَيب  ,  ذَنْب  ,  غلطْ"
Favour,,"ܛܲܝܒܿܘ݂ܬ݂ܵܐ   ,   ،  ܛܵܒ݂ܬ݂ܵܐ  ، ܥܸܪܦ̮ܵܢܵܐ ،  ܛܲܪܩܘ݂ܬ݂ܵܐ ","نعمة , معروف ,  فَضل ,  حَسَنة , خِدمة "
Favourite,,"ܡܝܲܬܪܵܐ   ,   ܡܲܛܐܒ݂ܵܢܵܐ   ,   ܪܓ݂ܝ݂ܓ݂ܵܐ","مفضّل  ,  محبوب  , أثير "
Faze ,,ܕܵܠܹܚ ، ܩܲܠܩܸܠ ، ܕܵܓܹܪ ، ܟܵܘܹܐ ، ܕܵܠܹܚ ، ܕܓܵܪܵܐ ، ܕܠܵܚܵܐ ، ܡܲܟܘܸܐ ، ܙܲܠܗܸܙ ، ܩܵܠܹܩ,"يُزعج   ,   يُقلق "
Feal ,,"ܡܗܲܝܡܢܵܐ , ܫܲܪܝ݂ܪܵܐ ، ܫܲܦܝܵܐ ,  ܟܸܐܢܵܐ  ,  ܬܟ݂ܝ݂ܠܵܐ ،  ܕܲܟ݂ܝܵܐ ","مُخلص   ,  صادق "
Fealty ,,ܬܡܝ݂ܡܘ݂ܬ݂ܵܐ  ،  ܙܲܕܝ݂ܩܘ݂ܬ݂ܵܐ  ،  ܫܲܦܝܘ݂ܬ݂ܵܐ ، ܡܗܘܿܡܢܘ݂ܬ݂ܵܐ ,"إخلاص , وداعة , تفان "
Fear,,"ܙܕܘܿܥܬ݂ܵܐ   ,   ܕܸܚܠܬ݂ܵܐ  ،  ܕܸܚܠܵܐ ","خوفْ  ,  هلعْ   ,  خشية "
