English,Överge,Syriac,Arabic
Adorn,,ܣܵܩܹܠ ، ܡܣܵܩܹܠ ،  ܡܚܵܡܹܠ ،  ܡܚܵܡܘܿܠܹܐ ، ܨܵܒܹܬ݂ ، ܨܘ݂ܒܵܬ݂ܵܐ,"يُزيّن  ,  يُزخرف  "
Adornment,,"ܣܩܝ݂ܠܘ݂ܬ݂ܵܐ  ,  ܨܸܒܬ݂ܵܐ","تَزَيَينْ  ,  زينة  ,  زخرفة"
Adroitness,,"ܡܗܝ݂ܪܘ݂ܬ݂ܵܐ   ,   ܐܘ݂ܡܵܢܘ݂ܬ݂ܵܐ",مهارة 
Adroitness,,"ܢܲܗܝ݂ܪܘ݂ܬ݂ܵܐ   ,   ܣܲܟܘ݂ܠܬܵܢܘ݂ܬ݂ܵܐ","حَذاقة  ,   ذَكاء"
Adulation,,"ܡܲܫܦܲܪܬܵܐ  ,  ܩܘ݂ܠܵܣܵܐ","تملّق  ,  إطراء "
Adult,,ܡܲܛܝܵܐ  ،  ܡܕܲܪܟ݂ܵܐ  ،  ܓܡܝ݂ܪܵܐ  ،  ܡܫܲܡܠܝܵܐ,بالِغْ
Adulterate,,ܚܵܪܹܒ݂ ، ܡܲܚܪܸܒ݂  ، ܣܵܪܹܐ ، ܣܪܵܝܵܐ ، ܡܲܣܪܸܐ ، ܥܲܠܕܸܐ، ܫܵܩܹܪ ، ܢܵܟܹܠ,"يغش  ,  يفسد  "
Adulterate,,"ܢܟ݂ܸܠܠܹܗ  ,  ܫܩܸܪܠܹܗ","غَشَّ  ,  خَدَعِ"
Adulteration ,,ܥܸܬܵܐ ،  ܙܹܐܦܵܐ  ،  ܫܓ݂ܲܡ  ،  ܦܸܥܠܵܐ ، ܛܲܥܝܘ݂ܬ݂ܵܐ,"غِش  ,  خِداع "
Adultery,,ܙܵܢܝܘ݂ܬ݂ܵܐ,زِنى 
Adulterer,,ܙܲܢܵܝܵܐ,"زِاني  ,  الزاني "
Adulteress,,ܙܵܢܝ݂ܬ݂ܵܐ,"زانية   ,   الزانية "
Adulterine,,ܡܙܸܲܝܦܵܐ  ،  ܢܟ݂ܝ݂ܠܵܐ  ،  ܡܫܲܩܪܵܐ  ،  ܡܫܲܚܪܵܐ,"مَغشوش  ,  مُزيَّف"
Aduncous,,ܟܦܝ݂ܦܵܐ ,"معقوف  ,   مُنحني"
Advance,,"ܫܘ݂ܘܫܵܛܵܐ  ,  ܡܸܬ݂ܩܲܕܡܵܢܘ݂ܬ݂ܵܐ  ,  ܕܘ݂ܪܵܓ݂ܵܐ","تقدّمْ , ترَقٍّ "
Advantage,,"ܝܘ݂ܬ݂ܪܵܢܵܐ  ,  ܗܸܢܝܵܢܵܐ  -  ܛܵܒ݂ܘ݂ܬ݂ܵܐ  ،  ܝܲܬܝ݂ܪܘ݂ܬ݂ܵܐ","فائدة , مصلحة  -   أفضلية"
Advantageous,,"ܥܵܕܘܿܪܵܐ  ,  ܡܲܗܢܝܵܢܵܐ  ,  ܡܥܲܕܪܵܢܵܐ","مفيد , نافع "
Adventure,,ܓܙܵܒܘ݂ܬ݂ܵܐ   -   ܫܘ݂ܩܢܵܛܵܐ  ،  ܡܲܡܣܪܵܢܘ݂ܬ݂ܵܐ   ,مُجازفة   -   مُغامرة  
Adverb,,ܙܢܵܐ ,حالْ  (في النحو)
Adversary,,"ܣܲܩܘ݂ܒ݂ܠܵܐ  ,  ܕܲܠܩܘ݂ܒ݂ܠܵܐ","خصْمٌ  ,  مُقاومٌ   ,   عدو"
Adverse,,ܕܲܠܩܘ݂ܒ݂ܠ ، ܠܘ݂ܩܒܲܠ,"مُعادٍ  ,  مُناوئ"
Adversity,,"ܓܘ݂ܢܚܵܐ  ,  ܒܝ݂ܫܬܵܐ  ,  ܫܘ݂ܩܵܦܵܐ","مصيبة  ,  بليّة "
Advert,,"ܪܡܸܙܠܹܗ  ,  ܪܫܸܡܠܹܗ   -   ܡܵܘܕܥܵܢܘ݂ܬ݂ܵܐ","يشير  ,  يَرمز   -   إعلان "
Advertise,,"ܦܵܪܹܣ ، ܦܪܵܣܵܐ  , ܡܲܝܕܸܥ ، ܡܲܝܕܘܿܥܹܐ  ، ܓܵܠܹܐ ","يُعلن  ,  يُذيع  ,  ينشر  ,  يُعلم "
Advertisement,,"ܡܲܘܕܥܵܢܘ݂ܬ݂ܵܐ  ,   ܩܵܪܘܿܝܘ݂ܬ݂ܵܐ  ","إعلانْ  ,  دعاية  , إعلان عن السلع..إلخ"
Advice,,"ܡܲܪܬܝܵܢܘ݂ܬ݂ܵܐ  ,  ܡܸܠܟܵܐ","نَصيحة  ,  مَشورة "
Advocate,,"ܡܣܲܬܪܵܢܵܐ  ,  ܣܢܸܐܓ݂ܪܵܐ","مَحام  ,  محامي الدفاع "
Adynamic,,ܡܚܝ݂ܠܵܐ   ،   ܚܲܠܵܫܵܐ ,"واهِن   ,   ضعيف"
Aerial,,ܐܵܐܲܪܵܝܵܐ,هوائي 
Aestival ,,ܩܲܝܛܵܝܵܐ,صَيفي 
Affable,,"ܫܲܘܕܵܝܵܐ  ,  ܡܲܚܡ݀ܠܵܢܵܐ  ,  ܒܲܣܝ݂ܡܵܐ","أنيس  ,  أليف"
Affecting,,ܡܲܥܒܕܵܢܵܐ,"مؤثّر  ,  فعّالْ "
Affection,,"ܪܲܚܡܘ݂ܬ݂ܵܐ  ,  ܝܲܕܝ݂ܕܘ݂ܬ݂ܵܐ  ,  ܚܘ݂ܒܵܐ  , ܚܲܒܝ݂ܒ݂ܘ݂ܬ݂ܵܐ"," مَحَبّة   ,   مَوَدّة "
Affectionate,,"ܡܲܚܒܵܢܵܐ  ,  ܪܵܚܡܵܐ  ,  ܝܲܕܝ݂ܕ݂ܵܐ","مُحِبْ , وَدود "
Affiance,,ܛܠܸܒܠܹܗ,خَطَبَ ( للمرأة) 
Affirm,,"ܫܵܪܹܪ  ،  ܫܪܵܪܵܐ   ,  ܚܵܬܹܬ݂   ،  ܚܘ݂ܬܵܬ݂ܵܐ ","يؤكد   ,  يُثبت   ,   يُجزم "
Affirmative,,ܡܣܲܝܡܵܢܵܐ,إيجابي 
Affirmative,,"ܣܘ݂ܬܵܬ݂ܵܐ   ,   ܫܘ݂ܪܵܪܵܐ","أثباتْ , تأييدْ"
Affix,,ܡܵܘܣܦܵܐ,مُضافْ 
Afflatus,,ܓܸܠܝܵܵܢܵܐ  ،  ܚܸܙܘܵܐ  ،  ܪܸܡܙܵܐ,"وحي   ,   إلهام"
Afflict,,"ܡܲܣܩܸܕ݂  ، ܥܵܝܹܩ  ،  ܥܝܵܩܵܐ , ܕܵܠܹܚ ، ܫܵܓܹܫ ، ܕܵܓܹܪ   ","يكدّر  ,  يُضيق   ,   يزعج "
Affliction,,ܚܲܫܵܐ  ،  ܟܹܐܒ݂ܵܐ  ،  ܟܲܪܝܘ݂ܬ݂ܵܐ  ،  ܐܸܒ݂ܠܵܐ,"حِزنْ  ,  أسى  ,  ألم"
Affluence,,"ܥܘ݂ܬ݂ܪܵܐ  ,  ܝܲܬܝ݂ܪܘ݂ܬ݂ܵܐ  -  ܦܸܪܝܘ݂ܬ݂ܵܐ",غِنى   -   وَفرة 
Affluent,,ܥܲܬܝ݂ܪܵܐ   -   ܦܸܪܝܵܐ,غَني   -   وَافرٌ
Afflux ,,ܫܘ݂ܦܵܟ݂ܵܐ    -   ܫܦܝ݂ܥܵܐ  ،  ܝܲܬܝ݂ܪܵܐ  ،  ܪܸܒܿܝ݂ܬ݂ܵܐ ,"تَدَفّق    -    فائض  ,  وافر  ,  زائد"
Affray,,"ܦܠܵܫܵܐ  ,  ܗܪܵܒ݂ܵܐ","مشاجرة , عِراك ,  صراع "
Affright,,"ܙܵܕܹܥ  ،  ܙܕܵܥܵܐ  ،  ܙܘ݂ܕܵܥܵܐ   ,   ܕܵܚܹܠ  ،  ܕܚܵܠܵܐ ","يخاف  ,  يُفزع   ,  يُروّع  ,  يرتعب"
Affront,,"ܡܨܵܥܹܪ ، ܡܨܲܥܘܿܪܹܐ ، ܬܵܝܹܟ ، ܐܵܬܹܟ ، ܬܝܵܡܵܐ  ,  ܢܵܟܹܦ  ","يهين   ,   يشتم   ,   يعيّر "
Affront,,"ܬܝ݂ܟܘ݂ܬ݂ܵܐ  ,  ܨܪܘܿܚܝ݂ܬ݂ܵܐ  ,  ܢܟܹܦܬ݂ܵܐ ، ܨܲܥܪܵܐ   ","إهانة  ,   إحتقار  ,  شَتْم  ,  إذلال "
Afloat,,ܛܝ݂ܦܵܐ,"عائمْ   ,   طافٍ"
Aforetime,,ܡܸܢ ܩܕ݂ܝ݂ܡ    -    ܩܲܕܿܝ݂ܡܵܐ,سابقاً   -   سابَقْ
Afraid,,"ܙܕܝ݂ܥܵܐ  ,  ܨܕܝ݂ܠܵܐ","خائِفْ , رِعديدْ"
Afterbirth,,ܠܲܩܚܵܐ  ،  ܫܠܝ݂ܬ݂ܵܐ  ،  ܚܒ݂ܵܪܬ݂ܵܐ ,مشيمة الجنين  ،  المشيمة
Afterwards,,ܒܵܬܲܪ ܗܵܕܸܐ,بَعْدَ ذلك 
Again,,"ܬܘ݂ܒ݂  ,  ܐܵܦ  ,  ܓܵܗܵܐ ܐ݉ܚܪܸܢܝܵܐ","أيضا ,  مرة أخرى "
Against,,"ܣܵܩܘ݂ܒ݂ܠܵܐ  ,  ܫܦܵܝܵܐ","ضِد , خَصِمْ "
Aged,,ܣܵܒ݂ܵܐ,"شَايبْ  ,  هَرِمْ ,  مُسن "
Agelong,,ܡܬ݂ܘܿܡܵܝܵܐ   ،   ܐܲܡܝ݂ܢܵܐ ,"سَرمدي ,  أبدي  ,  أزلي  ,  دائم"
Agent,,"ܘܲܟܿܝ݂ܠܵܐ  ,  ܩܲܝܘ݂ܡܵܐ","وكيل  , محام "
Aggrandizement,,"ܡܲܪܒ݂ܵܝܬܵܐ  ,  ܡܲܪܲܡܬ݂ܵܐ  ,  ܡܲܥܠܲܝܬܵܐ","تعظيمْ , إجلال , تقدير"
Aggregate,,"ܟܢܸܫܠܹܗ  ,  ܟܘ݂ܦܸܫܠܹܗ  -   ܟܘ݂ܢܵܫܵܐ  ,  ܣܘ݂ܝܵܟ̣ܵܐ","جَمَعَ   -   مجموع ,  إجمالي "
Aggregation,,"ܟܸܢܫܵܐ  ,  ܚܸܓܵܐ  ,  ܚܲܒ݂ܨܵܐ","جََمْعٌ  , إحتشادْ , إحتفال"
Aggression,,ܛܵܠܘܿܡܘ݂ܬ݂ܵܐ,"تَعَدي , إنتهاك , تجاوز "
Ago,,ܡܸܢ ܩܕ݂ܝ݂ܡ,"سابقاً , منذُ , ماض "
